Test Name = Noise Test S/N: 2118112119H001003942

[IDENTIFICATION TEXT]
Date & Time	27/08/2021 - 17:06:51
Final Result	PASS
Version Number	 - 
Model Number	MX923001
Model Type	LIN
BarCode	2118112119H001003942
UTT Code	No UTT
UTT Description	No UTT
Software ID	MX923001_8600rpm_20_Bands_LIMITS_05_January.pro
TST folder	2118112119H001003942_TST_2021-08-27_17-06-51_
TDM folder	2118112119H001003942_TDM_2021-08-27_17-06-51_
[IDENTIFICATION TEXT END]

[IDENTIFICATION COLOR]
16448250	16448250
16448250	6618880
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
[IDENTIFICATION COLOR END]

[RESULTS TEXT]
ELECTRICAL SAFETY	 	 	 	 	 	 
MIC_Octave Band 50Hz t3_t4	25.909	dB	270.291	0.000	0	Pass
MIC_Octave Band 63Hz t3_t4	19.088	dB	293.141	0.000	0	Pass
MIC_Octave Band 80Hz t3_t4	20.828	dB	244.512	0.000	0	Pass
MIC_Octave Band 100Hz t3_t4	25.604	dB	258.355	0.000	0	Pass
MIC_Octave Band 125Hz t3_t4	32.254	dB	473.450	0.000	0	Pass
MIC_Octave Band 160Hz t3_t4	36.626	dB	469.211	0.000	0	Pass
MIC_Octave Band 200Hz t3_t4	19.967	dB	237.552	0.000	0	Pass
MIC_Octave Band 250Hz t3_t4	35.253	dB	389.145	0.000	0	Pass
MIC_Octave Band 315Hz t3_t4	45.077	dB	490.572	0.000	0	Pass
MIC_Octave Band 400Hz t3_t4	44.479	dB	523.543	0.000	0	Pass
MIC_Octave Band 500Hz t3_t4	39.483	dB	465.970	0.000	0	Pass
MIC_Octave Band 630Hz t3_t4	46.944	dB	485.390	0.000	0	Pass
MIC_Octave Band 800Hz t3_t4	53.059	dB	543.311	0.000	0	Pass
MIC_Octave Band 1000Hz t3_t4	53.499	dB	552.366	0.000	0	Pass
MIC_Octave Band 1250Hz t3_t4	58.228	dB	628.351	0.000	0	Pass
MIC_Octave Band 1600Hz t3_t4	58.745	db	643.158	0.000	0	Pass
MIC_Octave Band 2000Hz t3_t4	47.850	dB	578.828	0.000	0	Pass
MIC_Octave Band 2500Hz t3_t4	45.983	dB	576.540	0.000	0	Pass
MIC_Octave Band 3150Hz t3_t4	50.587	dB	579.017	0.000	0	Pass
MIC_Octave Band 4000Hz t3_t4	45.956	dB	513.290	0.000	0	Pass
MIC_Octave Band 5000Hz t3_t4	42.386	dB	522.082	0.000	0	Pass
Test Summary						Pass
MIC_Total t4_t5	68.778	dB	660.100	0.000	0	Pass
(T6-T7) Shut down noise	 	 	 	 	 	 
Test Summary						Pass
MIC_Total t6_t7	53.494	dB	655.500	0.000	0	Pass
[RESULTS TEXT END]


[UTT TEXT]
[UTT END]

[TIMESTAMPS]
ta	=	17:07:08.917 27/08/2021
T0	=	17:07:32.384 27/08/2021
T1	=	17:07:43.785 27/08/2021
T2	=	17:07:40.483 27/08/2021
T3	=	17:07:44.385 27/08/2021
T4	=	17:07:48.065 27/08/2021
T5	=	17:07:53.165 27/08/2021
T6	=	17:07:53.577 27/08/2021
T7	=	17:08:02.100 27/08/2021
Time to pressure (t0-t2):	8.099
Stable run time(t3-t4):	3.680
Rattle time (t4-t5):	5.100
[TIMESTAMPS END]
